NAME       ALT_NAME              STAT_FLG ZABS     NHI   NHI_ERR  LIT_ZABS LIT_NHI LNHI_E REF
J0021-0128  DUM                         1   1.2420   20.55   0.10   1.2412   20.50   0.20    2
J0051+0041  DUM                         0   0.7420   20.60   0.10   0.7400   20.40   0.10   3
J0102-0853  DUM                         0   0.8945   20.45   0.10   0.0000   00.00   0.20    18
J0106+0105  DUM                         0   1.3020   20.85   0.20   1.3002   20.95   0.07   1
J0122-2843  B0120-28                    1   0.1856   20.55   0.10   0.1856   20.50   0.10   4
J0126-0105  DUM                         0   1.1930   20.65   0.10   1.1916   20.60   0.04   1
J0139-0023  DUM                         0   0.6840   20.60   0.15   0.6828   20.60   0.07   1
J0153+0052  DUM                         0   1.0610   20.35   0.20   1.0599   20.43   0.10   1
J0304-2212  B0302-2223                  0   1.0094   20.30   0.10   1.0140   20.00   0.20    5,6
J0452-1640  DUM                         0   1.0090   21.00   0.10   1.0072   20.98   0.06   1
J0456+0400  B0454$+$0356                0   0.8586   20.60   0.10   0.8596   20.75   0.02   7
J0741+3111  DUM                         0   0.2220   20.60   0.20   0.2213   20.90   0.07   1
J0830+2410  B0827+2421                  0   0.5191   20.40   0.20   0.5247   20.30   0.05   1
J0930+2848  SDSS-J093001.90+284858.4    2   0.0227   20.75   0.10   0.0227   20.71   0.15   17
J0938+4128  B0935+4141                  1   1.3725   20.45   0.15   1.3960   20.50   0.20    15
J0948+4323  DUM                         0   1.2340   21.75   0.15   0.0000   00.00   9.99    18
J0953-0038  DUM                         0   0.6390   20.30   0.10   0.6381   19.90   0.08   1
J0954+1743  DUM                         0   0.2410   21.05   0.20   0.2377   21.32   0.05   1
J1001+5553  B0957+5608a                 0   1.3913   20.30   0.20   1.3911   20.28   0.08   8
J1009+0713  SDSSJ100902.06+071343.8     2   0.1139   20.75   0.10   0.1140   20.68   0.10   9
J1009+0036  DUM                         0   0.9730   20.30   0.15   0.9714   20.00   0.10   1
J1010+0003  DUM                         0   1.2670   21.70   0.10   1.2651   21.52   0.06   1
J1017+5356  DUM                         0   1.3070   20.70   0.10   0.0000   00.00   9.99    18
J1106-1821  B1104-1805b                 0   1.6617   20.80   0.10   1.6616   20.84   0.20    10
J1107+0048  DUM                         0   0.7410   21.00   0.15   0.7470   21.00   0.04   1
J1124-1705  B1122-1648                  1   0.6812   20.35   0.15   0.6819   20.45   0.15   11
J1130-1449  B1127-1432                  0   0.3140   21.30   0.15   0.3130   21.71   0.07   1
J1224+0037  DUM                         0   1.2350   20.75   0.15   1.2346   20.88   0.05   1
J1225+0035  DUM                         0   0.7730   21.55   0.10   0.7730   21.38   0.12   1
J1232-0224  Q1232-022                   0   0.3950   20.85   0.15   0.3950   20.75   0.07   12
J1251+4637  Q1251+463                   0   0.3965   20.60   0.15   0.3965   20.50   0.20   17
J1331+3030  B1328+3045                  0   0.6840   21.40   0.15   0.6920   21.30   0.20    13
J1420-0054  DUM                         0   1.3470   20.85   0.15   1.3475   20.90   0.05   1
J1431+3952  DUM                         0   0.6040   21.30   0.15   0.6019   21.20   0.10   16
J1501+0019  DUM                         0   1.4840   20.90   0.10   1.4832   20.85   0.14   1
J1512+0128  SDSS-J151237.05+012846      2   0.0295   20.40   0.10   0.0295   20.27   0.15   17
J1527+2452  DUM                         0   0.7345   20.40   0.15   0.0000   00.00   9.99    18
J1537+0021  DUM                         0   1.1790   20.30   0.10   1.1782   20.18   0.10   1
J1616+4154  SDSSJ161649.42+415416.3     2   0.3210   20.65   0.20   0.3211   20.60   0.20   9
J1619+3342  SDSSJ161916.54+334238.4     2   0.0964   20.65   0.10   0.0963   20.55   0.10   9
J1624+2345  B1622+2352                  0   0.6556   20.30   0.10   0.6560   20.30   0.20    14
J1712+5559  DUM                         0   1.2100   20.65   0.15   1.2093   20.72   0.05   1
J1727+5302  DUM                         0   0.9480   21.25   0.15   0.9448   21.16   0.05   1
J1727+5302  DUM                         0   1.0330   21.50   0.15   1.0312   21.41   0.03   1
J1733+5533  DUM                         0   0.9990   20.80   0.10   0.9981   20.70   0.03   1
J2334+0052  DUM                         0   0.4740   20.50   0.15   0.4713   20.65   0.15   1
J2339-0029  DUM                         0   0.9680   20.60   0.15   0.9664   20.48   0.08   1
J2353-0028  DUM                         0   0.6044   21.50   0.10   0.6044   21.54   0.15   1
#STAT_FLG
#(0) not in the statistical sample;
#(1) in the statistical sample;
#(2) in the galaxy sample
